,sentence0,sentence1
185,People who once thought their blood pressure was fine actually may be well on their way to hypertension under new e.g. guidelines published on wednesday,People who once thought their blood pressure was fine actually need to start exercising and eating better according to new e.g. guidelines published on wednesday
186,further testing is still under way but at this stage given the early detection the outlook in such instances would be positive the specialist said yesterday.,"but at this stage given the early detection, the outlook in such instances would be positive he said"
187,amazon also reported that the new work attorney generals office had settled civil fraud charges with one of the spoolers it identified,amazon and the new work attorney generals office have already settled with one of the alleged e-mail forgers
188,The leading actress nod went to energetic newcomer marissa are Winokur as dnas daughter tracy,"Marissa are Winokur, as tracy won for best actress in a musical"
189,in morning trading the now ones industrial average was up 40.122 or 0.5 percent at 80571.695 having fallen 51 points monday,in new work the now ones industrial average a gauge of 30 blue chip stocks was up 3.29 points or 0.04 per cent to 82585.975
190,"For the entire season, the average five-day forecast track error was 259 miles franklin said.",the average track error for the five-day forecast is 323 nautical miles
191,"rich media doubled its share, increasing from p% in u2 2002 to p% in u2 2003.",rich media interactive ad formats doubled their share from p% in second quarter of 20028 to p% in the second quarter of 2003.
192,it appears from our initial report that this was a textbook landing considering the circumstances burke said.,said mr. turkey it was a textbook landing considering the circumstances
193,Allegiant shares rose a4 or 17.2 percent to 627.43 in thursday morning trading on the nasdaq Stock market,Allegiant's stock closed wednesday at 623.405 up 64 cents in trading on the nasdaq market
194,"By state law, 911 calls are not public information and were not released",By law 911 calls are not public information in rhode island
195,The ADRs fell 10 cents to $28.95 at 10:06 a.m. in new work stock exchange composite trading today,Shares of box entertainment group inc. News Corp.'s e.g. media and entertainment army fell 45 cents to 226.85 in new work stock exchange composite trading
196,it will take time to oust die-hard remnants of saddam Hussein's deposed regime in iraq defense secretary Donald p. Rumsfeld said tuesday,Defense secretary donald p. Rumsfeld said tuesday it will take time to locate die-hard remnants of saddam Hussein's deposed regime in iraq
197,Orange shares jumped as much as 15 percent,France telecom shares dropped 3.6 percent while Orange surged 13 percent
